iter	Passed	Remaining
0	113	113467
1	126	63021
2	138	46048
3	151	37664
4	163	32480
5	175	29037
6	185	26275
7	194	24171
8	205	22578
9	214	21284
10	225	20289
11	236	19478
12	249	18923
13	261	18389
14	274	18044
15	285	17564
16	295	17093
17	307	16778
18	318	16447
19	328	16094
20	338	15765
21	348	15480
22	358	15221
23	367	14927
24	375	14635
25	384	14404
26	393	14163
27	401	13938
28	410	13733
29	420	13586
30	429	13416
31	438	13275
32	448	13129
33	457	12998
34	466	12851
35	474	12700
36	482	12560
37	492	12456
38	502	12373
39	512	12296
40	521	12191
41	531	12119
42	541	12047
43	549	11948
44	558	11853
45	566	11747
46	574	11651
47	582	11555
48	590	11462
49	598	11365
50	606	11278
51	613	11183
52	622	11115
53	629	11033
54	637	10946
55	644	10867
56	651	10779
57	658	10694
58	665	10611
59	672	10537
60	679	10462
61	686	10388
62	693	10316
63	701	10252
64	707	10183
65	715	10118
66	722	10055
67	729	9997
68	737	9945
69	744	9890
70	751	9833
71	758	9781
72	765	9721
73	772	9661
74	779	9618
75	787	9571
76	794	9520
77	801	9473
78	808	9427
79	815	9383
80	823	9339
81	829	9289
82	837	9250
83	844	9211
84	852	9174
85	859	9139
86	866	9095
87	873	9053
88	881	9021
89	888	8980
90	895	8940
91	902	8903
92	909	8866
93	915	8825
94	922	8791
95	929	8752
96	936	8715
97	943	8686
98	951	8658
99	958	8629
100	966	8599
101	973	8567
102	981	8546
103	989	8525
104	997	8499
105	1004	8468
106	1012	8447
107	1019	8420
108	1027	8397
109	1035	8376
110	1042	8346
111	1050	8325
112	1057	8302
113	1064	8274
114	1071	8246
115	1079	8225
116	1086	8201
117	1093	8176
118	1100	8146
119	1108	8125
120	1115	8101
121	1122	8076
122	1129	8050
123	1135	8022
124	1142	7995
125	1149	7975
126	1156	7951
127	1163	7926
128	1170	7902
129	1177	7879
130	1186	7868
131	1193	7850
132	1200	7828
133	1207	7805
134	1217	7798
135	1223	7775
136	1231	7754
137	1238	7733
138	1244	7710
139	1251	7690
140	1259	7672
141	1267	7656
142	1276	7648
143	1284	7634
144	1292	7620
145	1299	7604
146	1308	7590
147	1315	7573
148	1323	7560
149	1330	7540
150	1337	7520
151	1344	7503
152	1352	7488
153	1361	7478
154	1368	7459
155	1375	7444
156	1383	7427
157	1390	7410
158	1397	7390
159	1403	7369
160	1410	7351
161	1417	7333
162	1424	7316
163	1432	7300
164	1439	7286
165	1447	7271
166	1454	7255
167	1461	7239
168	1468	7223
169	1476	7206
170	1483	7189
171	1490	7173
172	1497	7158
173	1504	7141
174	1511	7123
175	1518	7107
176	1525	7091
177	1532	7075
178	1539	7059
179	1546	7043
180	1553	7027
181	1560	7014
182	1567	6998
183	1575	6985
184	1582	6971
185	1589	6957
186	1597	6945
187	1605	6932
188	1612	6920
189	1620	6906
190	1627	6891
191	1634	6876
192	1641	6864
193	1648	6850
194	1656	6837
195	1663	6822
196	1670	6807
197	1677	6794
198	1684	6780
199	1692	6768
200	1699	6754
201	1706	6742
202	1714	6732
203	1721	6716
204	1728	6701
205	1734	6686
206	1741	6671
207	1748	6656
208	1754	6640
209	1761	6625
210	1768	6613
211	1775	6600
212	1782	6586
213	1789	6573
214	1796	6560
215	1803	6546
216	1810	6533
217	1817	6518
218	1824	6505
219	1831	6492
220	1838	6478
221	1845	6467
222	1852	6453
223	1858	6439
224	1865	6426
225	1872	6413
226	1879	6399
227	1885	6385
228	1893	6374
229	1900	6362
230	1908	6353
231	1915	6342
232	1924	6335
233	1932	6326
234	1940	6317
235	1949	6309
236	1956	6300
237	1964	6290
238	1972	6280
239	1979	6269
240	1986	6256
241	1993	6244
242	2000	6232
243	2009	6226
244	2017	6217
245	2025	6208
246	2033	6199
247	2041	6189
248	2048	6178
249	2055	6166
250	2062	6154
251	2069	6142
252	2076	6131
253	2084	6122
254	2092	6113
255	2099	6102
256	2107	6092
257	2113	6079
258	2120	6067
259	2127	6055
260	2134	6044
261	2141	6032
262	2148	6020
263	2154	6007
264	2161	5995
265	2168	5982
266	2175	5972
267	2183	5963
268	2191	5954
269	2198	5943
270	2207	5939
271	2216	5931
272	2223	5919
273	2230	5908
274	2236	5896
275	2243	5885
276	2250	5873
277	2257	5862
278	2263	5850
279	2270	5838
280	2277	5827
281	2284	5815
282	2290	5803
283	2297	5791
284	2305	5784
285	2313	5775
286	2321	5767
287	2329	5758
288	2335	5746
289	2342	5735
290	2349	5723
291	2356	5714
292	2364	5704
293	2370	5693
294	2378	5683
295	2385	5672
296	2392	5663
297	2399	5653
298	2408	5646
299	2416	5637
300	2423	5627
301	2430	5617
302	2437	5606
303	2444	5596
304	2451	5586
305	2458	5575
306	2465	5565
307	2472	5555
308	2479	5544
309	2486	5533
310	2493	5524
311	2500	5514
312	2507	5504
313	2515	5495
314	2522	5485
315	2529	5475
316	2536	5465
317	2543	5455
318	2550	5445
319	2557	5433
320	2563	5423
321	2571	5413
322	2578	5404
323	2585	5394
324	2592	5384
325	2598	5373
326	2605	5362
327	2612	5353
328	2619	5343
329	2627	5334
330	2634	5324
331	2641	5314
332	2648	5304
333	2655	5295
334	2662	5285
335	2670	5276
336	2676	5266
337	2684	5257
338	2691	5247
339	2697	5237
340	2705	5228
341	2712	5218
342	2719	5208
343	2726	5198
344	2733	5189
345	2740	5179
346	2747	5169
347	2753	5159
348	2760	5149
349	2767	5138
350	2774	5129
351	2781	5119
352	2788	5110
353	2795	5101
354	2802	5092
355	2809	5083
356	2816	5073
357	2824	5064
358	2831	5055
359	2838	5045
360	2845	5035
361	2851	5025
362	2858	5016
363	2864	5005
364	2872	4997
365	2880	4989
366	2886	4979
367	2894	4971
368	2902	4963
369	2908	4953
370	2915	4943
371	2922	4934
372	2929	4924
373	2936	4914
374	2942	4904
375	2949	4894
376	2956	4885
377	2962	4875
378	2969	4866
379	2976	4856
380	2988	4854
381	2995	4846
382	3004	4840
383	3011	4830
384	3017	4820
385	3024	4810
386	3031	4801
387	3037	4791
388	3044	4781
389	3050	4771
390	3057	4761
391	3063	4751
392	3070	4742
393	3077	4733
394	3084	4724
395	3091	4715
396	3100	4709
397	3108	4701
398	3116	4693
399	3123	4685
400	3132	4678
401	3139	4670
402	3147	4662
403	3155	4654
404	3162	4646
405	3170	4638
406	3177	4629
407	3185	4622
